	artist_name	track_name	uri	0	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	track_href	analysis_url	duration_ms	time_signature
5185	Kanye West	Off The Grid	spotify:track:2gbMPBrBVj3CuNTLp2dHYs	1	0.546	0.64	8	-5.582	1	0.37	0.0438	0.0	0.137	0.63	137.728	audio_features	2gbMPBrBVj3CuNTLp2dHYs	https://api.spotify.com/v1/tracks/2gbMPBrBVj3CuNTLp2dHYs	https://api.spotify.com/v1/audio-analysis/2gbMPBrBVj3CuNTLp2dHYs	339250	4
5186	Kanye West	Runaway	spotify:track:3DK6m7It6Pw857FcQftMds	1	0.374	0.568	1	-3.825	0	0.109	0.219	0.00219	0.513	0.111	84.733	audio_features	3DK6m7It6Pw857FcQftMds	https://api.spotify.com/v1/tracks/3DK6m7It6Pw857FcQftMds	https://api.spotify.com/v1/audio-analysis/3DK6m7It6Pw857FcQftMds	547733	4
5187	Kanye West	Spaceship	spotify:track:1ko2NuvWlQdxtNRc8QQzmT	2	0.507	0.753	5	-5.31	0	0.19	0.503	0.0	0.573	0.657	178.068	audio_features	1ko2NuvWlQdxtNRc8QQzmT	https://api.spotify.com/v1/tracks/1ko2NuvWlQdxtNRc8QQzmT	https://api.spotify.com/v1/audio-analysis/1ko2NuvWlQdxtNRc8QQzmT	324227	3
5188	Kanye West	To The World	spotify:track:4OeQM6VKvF8QQLaqvhP3qo	1	0.537	0.572	4	-8.168	1	0.263	0.198	0.0	0.0962	0.452	141.983	audio_features	4OeQM6VKvF8QQLaqvhP3qo	https://api.spotify.com/v1/tracks/4OeQM6VKvF8QQLaqvhP3qo	https://api.spotify.com/v1/audio-analysis/4OeQM6VKvF8QQLaqvhP3qo	230947	4
5189	Kanye West	Touch The Sky	spotify:track:2dxjKgT0li4qBI3QwuN9Ih	1	0.552	0.846	9	-4.912	1	0.342	0.0114	0.0	0.309	0.554	98.56	audio_features	2dxjKgT0li4qBI3QwuN9Ih	https://api.spotify.com/v1/tracks/2dxjKgT0li4qBI3QwuN9Ih	https://api.spotify.com/v1/audio-analysis/2dxjKgT0li4qBI3QwuN9Ih	236600	1
5190	Kanye West	True Love	spotify:track:06JvOZ39sK8D8SqiqfaxDU	2	0.712	0.861	5	-5.487	0	0.25	0.0182	6.09e-06	0.511	0.388	84.042	audio_features	06JvOZ39sK8D8SqiqfaxDU	https://api.spotify.com/v1/tracks/06JvOZ39sK8D8SqiqfaxDU	https://api.spotify.com/v1/audio-analysis/06JvOZ39sK8D8SqiqfaxDU	148571	4
5191	Kanye West	Ultralight Beam	spotify:track:1eQBEelI2NCy7AUTerX0KS	13	0.592	0.403	0	-8.768	0	0.414	0.62	0.0	0.54	0.391	105.169	audio_features	1eQBEelI2NCy7AUTerX0KS	https://api.spotify.com/v1/tracks/1eQBEelI2NCy7AUTerX0KS	https://api.spotify.com/v1/audio-analysis/1eQBEelI2NCy7AUTerX0KS	320680	4
5192	Kanye West	Violent Crimes	spotify:track:2VYb3Fb5iK5Y8HGZ8oEEkp	2	0.665	0.417	1	-6.731	0	0.524	0.374	0.0	0.186	0.04	110.111	audio_features	2VYb3Fb5iK5Y8HGZ8oEEkp	https://api.spotify.com/v1/tracks/2VYb3Fb5iK5Y8HGZ8oEEkp	https://api.spotify.com/v1/audio-analysis/2VYb3Fb5iK5Y8HGZ8oEEkp	215320	4
5193	Kanye West	Wouldn't Leave	spotify:track:3dG6tjetoR4GMmUGZUprLt	1	0.555	0.433	3	-8.559	1	0.546	0.494	0.0	0.313	0.352	164.236	audio_features	3dG6tjetoR4GMmUGZUprLt	https://api.spotify.com/v1/tracks/3dG6tjetoR4GMmUGZUprLt	https://api.spotify.com/v1/audio-analysis/3dG6tjetoR4GMmUGZUprLt	205547	4
5194	Kanye West	Yikes	spotify:track:2r4JRwcbIeuAzWjH4YXlLs	5	0.676	0.777	1	-3.241	0	0.357	0.145	0.0	0.228	0.226	173.931	audio_features	2r4JRwcbIeuAzWjH4YXlLs	https://api.spotify.com/v1/tracks/2r4JRwcbIeuAzWjH4YXlLs	https://api.spotify.com/v1/audio-analysis/2r4JRwcbIeuAzWjH4YXlLs	188773	4
