	artist_name	track_name	uri	plays	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	track_href	analysis_url	duration_ms	time_signature	0_y	User
3666	Imagine Dragons	On Top Of The World	spotify:track:6KuHjfXHkfnIjdmcIvt9r0	1	0.635	0.926	0.0	-5.589	1.0	0.151	0.0893	4.53e-06	0.0928	0.761	100.048	audio_features	6KuHjfXHkfnIjdmcIvt9r0	https://api.spotify.com/v1/tracks/6KuHjfXHkfnIjdmcIvt9r0	https://api.spotify.com/v1/audio-analysis/6KuHjfXHkfnIjdmcIvt9r0	189840.0	4.0		Sean
3667	Imagine Dragons	Shots - Broiler Remix	spotify:track:4XLm8FNvaTlmTAZmSrrV82	28	0.73	0.782	11.0	-7.109	0.0	0.0336	0.411	0.11	0.108	0.606	120.018	audio_features	4XLm8FNvaTlmTAZmSrrV82	https://api.spotify.com/v1/tracks/4XLm8FNvaTlmTAZmSrrV82	https://api.spotify.com/v1/audio-analysis/4XLm8FNvaTlmTAZmSrrV82	191267.0	4.0		Sean
3668	Imagine Dragons	Shots - Broiler Remix	spotify:track:4XLm8FNvaTlmTAZmSrrV82	28	0.73	0.782	11.0	-7.109	0.0	0.0336	0.411	0.11	0.108	0.606	120.018	audio_features	4XLm8FNvaTlmTAZmSrrV82	https://api.spotify.com/v1/tracks/4XLm8FNvaTlmTAZmSrrV82	https://api.spotify.com/v1/audio-analysis/4XLm8FNvaTlmTAZmSrrV82	191267.0	4.0		Sean
3669	Imlaylow	Chinatown Boulevard	spotify:track:06Wbx7mIE55n6Nq5ybvyvu	1	0.651	0.226	11.0	-15.483	1.0	0.0443	0.66	0.887	0.164	0.282	79.989	audio_features	06Wbx7mIE55n6Nq5ybvyvu	https://api.spotify.com/v1/tracks/06Wbx7mIE55n6Nq5ybvyvu	https://api.spotify.com/v1/audio-analysis/06Wbx7mIE55n6Nq5ybvyvu	108000.0	4.0		Sean
3670	Import Export	If I Wrote You	spotify:track:0pVwoyQqtyF0GWyaMeYy6q	1	0.599	0.38	6.0	-7.541	0.0	0.134	0.44	0.901	0.111	0.149	93.855	audio_features	0pVwoyQqtyF0GWyaMeYy6q	https://api.spotify.com/v1/tracks/0pVwoyQqtyF0GWyaMeYy6q	https://api.spotify.com/v1/audio-analysis/0pVwoyQqtyF0GWyaMeYy6q	133723.0	4.0		Sean
3671	Import Export	If I Wrote You	spotify:track:0pVwoyQqtyF0GWyaMeYy6q	1	0.599	0.38	6.0	-7.541	0.0	0.134	0.44	0.901	0.111	0.149	93.855	audio_features	0pVwoyQqtyF0GWyaMeYy6q	https://api.spotify.com/v1/tracks/0pVwoyQqtyF0GWyaMeYy6q	https://api.spotify.com/v1/audio-analysis/0pVwoyQqtyF0GWyaMeYy6q	133723.0	4.0		Sean
3672	In K	回忆观影券	spotify:track:30ROyLiss7bYkVWpUw5H3Q	1	0.686	0.645	11.0	-9.21	0.0	0.0276	0.378	0.0	0.103	0.248	130.079	audio_features	30ROyLiss7bYkVWpUw5H3Q	https://api.spotify.com/v1/tracks/30ROyLiss7bYkVWpUw5H3Q	https://api.spotify.com/v1/audio-analysis/30ROyLiss7bYkVWpUw5H3Q	170924.0	4.0		Sean
3673	In K	潮汐	spotify:track:3Bi7JrgmqmN5LBsG6fsWgM	5	0.751	0.433	10.0	-9.556	0.0	0.0348	0.396	7.78e-06	0.12	0.354	92.992	audio_features	3Bi7JrgmqmN5LBsG6fsWgM	https://api.spotify.com/v1/tracks/3Bi7JrgmqmN5LBsG6fsWgM	https://api.spotify.com/v1/audio-analysis/3Bi7JrgmqmN5LBsG6fsWgM	168797.0	4.0		Sean
3674	In K	潮汐	spotify:track:3Bi7JrgmqmN5LBsG6fsWgM	5	0.751	0.433	10.0	-9.556	0.0	0.0348	0.396	7.78e-06	0.12	0.354	92.992	audio_features	3Bi7JrgmqmN5LBsG6fsWgM	https://api.spotify.com/v1/tracks/3Bi7JrgmqmN5LBsG6fsWgM	https://api.spotify.com/v1/audio-analysis/3Bi7JrgmqmN5LBsG6fsWgM	168797.0	4.0		Sean
3675	In K	落差 - DJ版	spotify:track:0K1KpZSd9gX4qcvPXqmsAh	1	0.658	0.965	5.0	-2.115	1.0	0.0329	0.0405	0.0	0.137	0.922	128.008	audio_features	0K1KpZSd9gX4qcvPXqmsAh	https://api.spotify.com/v1/tracks/0K1KpZSd9gX4qcvPXqmsAh	https://api.spotify.com/v1/audio-analysis/0K1KpZSd9gX4qcvPXqmsAh	241875.0	4.0		Sean
3676	In K	落日与晚风	spotify:track:7KvI0D2UUvigjjAF1Q9w0s	2	0.394	0.573	5.0	-8.854	0.0	0.0467	0.777	7.47e-06	0.11	0.536	85.679	audio_features	7KvI0D2UUvigjjAF1Q9w0s	https://api.spotify.com/v1/tracks/7KvI0D2UUvigjjAF1Q9w0s	https://api.spotify.com/v1/audio-analysis/7KvI0D2UUvigjjAF1Q9w0s	175126.0	4.0		Sean
3677	In K	落日与晚风	spotify:track:7KvI0D2UUvigjjAF1Q9w0s	2	0.394	0.573	5.0	-8.854	0.0	0.0467	0.777	7.47e-06	0.11	0.536	85.679	audio_features	7KvI0D2UUvigjjAF1Q9w0s	https://api.spotify.com/v1/tracks/7KvI0D2UUvigjjAF1Q9w0s	https://api.spotify.com/v1/audio-analysis/7KvI0D2UUvigjjAF1Q9w0s	175126.0	4.0		Sean
3678	Incise	Nothing to Do	spotify:track:1ngLAGzk5j3ktCLew1KuFv	4	0.596	0.962	11.0	-4.013	1.0	0.0446	0.0891	0.92	0.142	0.936	93.509	audio_features	1ngLAGzk5j3ktCLew1KuFv	https://api.spotify.com/v1/tracks/1ngLAGzk5j3ktCLew1KuFv	https://api.spotify.com/v1/audio-analysis/1ngLAGzk5j3ktCLew1KuFv	163707.0	4.0		Sean
3679	Incise	Nothing to Do	spotify:track:1ngLAGzk5j3ktCLew1KuFv	4	0.596	0.962	11.0	-4.013	1.0	0.0446	0.0891	0.92	0.142	0.936	93.509	audio_features	1ngLAGzk5j3ktCLew1KuFv	https://api.spotify.com/v1/tracks/1ngLAGzk5j3ktCLew1KuFv	https://api.spotify.com/v1/audio-analysis/1ngLAGzk5j3ktCLew1KuFv	163707.0	4.0		Sean
3680	Incise	Strife - re:plus remix	spotify:track:2AiS1HW4Lc6A9GhvrU5uNZ	58	0.667	0.711	8.0	-7.722	0.0	0.0498	0.0596	0.471	0.333	0.26	91.771	audio_features	2AiS1HW4Lc6A9GhvrU5uNZ	https://api.spotify.com/v1/tracks/2AiS1HW4Lc6A9GhvrU5uNZ	https://api.spotify.com/v1/audio-analysis/2AiS1HW4Lc6A9GhvrU5uNZ	208413.0	4.0		Sean
3681	Incise	Strife - re:plus remix	spotify:track:2AiS1HW4Lc6A9GhvrU5uNZ	58	0.667	0.711	8.0	-7.722	0.0	0.0498	0.0596	0.471	0.333	0.26	91.771	audio_features	2AiS1HW4Lc6A9GhvrU5uNZ	https://api.spotify.com/v1/tracks/2AiS1HW4Lc6A9GhvrU5uNZ	https://api.spotify.com/v1/audio-analysis/2AiS1HW4Lc6A9GhvrU5uNZ	208413.0	4.0		Sean
3682	Ingrid Michaelson	Looks Like A Cold, Cold Winter	spotify:track:5BzphWYy6ufKyqNZ0DzzEY	1	0.655	0.387	10.0	-5.85	1.0	0.0284	0.804	4.86e-06	0.26	0.445	130.018	audio_features	5BzphWYy6ufKyqNZ0DzzEY	https://api.spotify.com/v1/tracks/5BzphWYy6ufKyqNZ0DzzEY	https://api.spotify.com/v1/audio-analysis/5BzphWYy6ufKyqNZ0DzzEY	180093.0	4.0		Sean
3683	Internet Money	Blastoff (feat. Juice Wrld & Trippie Redd)	spotify:track:7dH9TPjTWQ60wOJkmYay8a	1	0.761	0.517	5.0	-6.916	1.0	0.0927	0.114	0.0	0.157	0.46	147.912	audio_features	7dH9TPjTWQ60wOJkmYay8a	https://api.spotify.com/v1/tracks/7dH9TPjTWQ60wOJkmYay8a	https://api.spotify.com/v1/audio-analysis/7dH9TPjTWQ60wOJkmYay8a	174730.0	4.0		Sean
3684	Internet Money	His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)	spotify:track:2IePEfMAtqWS6rLXXFZIgI	3	0.792	0.707	7.0	-5.218	0.0	0.0623	0.116	0.0	0.12	0.408	134.997	audio_features	2IePEfMAtqWS6rLXXFZIgI	https://api.spotify.com/v1/tracks/2IePEfMAtqWS6rLXXFZIgI	https://api.spotify.com/v1/audio-analysis/2IePEfMAtqWS6rLXXFZIgI	224042.0	4.0		Sean
3685	Internet Money	His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)	spotify:track:2IePEfMAtqWS6rLXXFZIgI	3	0.792	0.707	7.0	-5.218	0.0	0.0623	0.116	0.0	0.12	0.408	134.997	audio_features	2IePEfMAtqWS6rLXXFZIgI	https://api.spotify.com/v1/tracks/2IePEfMAtqWS6rLXXFZIgI	https://api.spotify.com/v1/audio-analysis/2IePEfMAtqWS6rLXXFZIgI	224042.0	4.0		Sean
3686	Internet Money	Lemonade (feat. Gunna, Don Toliver & NAV)	spotify:track:7hxHWCCAIIxFLCzvDgnQHX	140	0.8	0.658	1.0	-6.142	0.0	0.079	0.25	0.0	0.111	0.462	140.042	audio_features	7hxHWCCAIIxFLCzvDgnQHX	https://api.spotify.com/v1/tracks/7hxHWCCAIIxFLCzvDgnQHX	https://api.spotify.com/v1/audio-analysis/7hxHWCCAIIxFLCzvDgnQHX	195429.0	4.0		Sean
3687	Internet Money	Lemonade (feat. Gunna, Don Toliver & NAV)	spotify:track:7hxHWCCAIIxFLCzvDgnQHX	140	0.8	0.658	1.0	-6.142	0.0	0.079	0.25	0.0	0.111	0.462	140.042	audio_features	7hxHWCCAIIxFLCzvDgnQHX	https://api.spotify.com/v1/tracks/7hxHWCCAIIxFLCzvDgnQHX	https://api.spotify.com/v1/audio-analysis/7hxHWCCAIIxFLCzvDgnQHX	195429.0	4.0		Sean
