	artist_name	track_name	uri	num_listens	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	track_href	analysis_url	duration_ms	time_signature
1517	Flo Milli	Big Steppa	spotify:track:4wS4YABWUMDxcbImu3llWL	17	0.982	0.857	0	-3.163	1	0.219	0.254	3.99E-05	0.0416	0.581	111.986	audio_features	4wS4YABWUMDxcbImu3llWL	https://api.spotify.com/v1/tracks/4wS4YABWUMDxcbImu3llWL	https://api.spotify.com/v1/audio-analysis/4wS4YABWUMDxcbImu3llWL	147525	4
1518	Flo Milli	Conceited	spotify:track:02nTpchENdZ4Nm8AfTmrFv	34	0.978	0.683	8	-5.743	1	0.0981	0.0634	5.88E-05	0.523	0.419	118.041	audio_features	02nTpchENdZ4Nm8AfTmrFv	https://api.spotify.com/v1/tracks/02nTpchENdZ4Nm8AfTmrFv	https://api.spotify.com/v1/audio-analysis/02nTpchENdZ4Nm8AfTmrFv	146441	4
1519	Flo Milli	Conceited (feat. Lola Brooke & Maiya The Don)	spotify:track:53acd3PVcgGCux58YABBr5	3	0.94	0.761	8	-4.408	1	0.0979	0.0741	1.89E-05	0.59	0.414	118.027	audio_features	53acd3PVcgGCux58YABBr5	https://api.spotify.com/v1/tracks/53acd3PVcgGCux58YABBr5	https://api.spotify.com/v1/audio-analysis/53acd3PVcgGCux58YABBr5	195254	4
1520	Flo Milli	Eat It Up	spotify:track:2zeHX4bX8RxeaLDgdn90RA	2	0.907	0.714	1	-4.099	1	0.286	0.0752	0	0.11	0.47	132.059	audio_features	2zeHX4bX8RxeaLDgdn90RA	https://api.spotify.com/v1/tracks/2zeHX4bX8RxeaLDgdn90RA	https://api.spotify.com/v1/audio-analysis/2zeHX4bX8RxeaLDgdn90RA	152841	4
1521	Flo Milli	Fruit Loop	spotify:track:2vgoeRVrxhxuE7vvUSOVim	10	0.952	0.768	1	-4.66	0	0.278	0.00428	0	0.133	0.383	109.075	audio_features	2vgoeRVrxhxuE7vvUSOVim	https://api.spotify.com/v1/tracks/2vgoeRVrxhxuE7vvUSOVim	https://api.spotify.com/v1/audio-analysis/2vgoeRVrxhxuE7vvUSOVim	137263	4
1522	Flo Milli	In The Party	spotify:track:2JF8KwK1hH7MWxKcFdTlcg	27	0.88	0.556	9	-6.544	1	0.333	0.00874	0	0.217	0.422	135.012	audio_features	2JF8KwK1hH7MWxKcFdTlcg	https://api.spotify.com/v1/tracks/2JF8KwK1hH7MWxKcFdTlcg	https://api.spotify.com/v1/audio-analysis/2JF8KwK1hH7MWxKcFdTlcg	141088	4
1523	Flo Milli	In The Party	spotify:track:52BJrldggFQyTiW8XrILhO	178	0.919	0.609	9	-5.059	1	0.262	0.0096	0	0.124	0.418	134.992	audio_features	52BJrldggFQyTiW8XrILhO	https://api.spotify.com/v1/tracks/52BJrldggFQyTiW8XrILhO	https://api.spotify.com/v1/audio-analysis/52BJrldggFQyTiW8XrILhO	137362	4
1524	Flo Milli	Like That Bitch	spotify:track:64OpsXJO3i5nebXQFPBFp7	26	0.751	0.841	10	-4.273	0	0.272	0.106	1.40E-06	0.294	0.77	77.578	audio_features	64OpsXJO3i5nebXQFPBFp7	https://api.spotify.com/v1/tracks/64OpsXJO3i5nebXQFPBFp7	https://api.spotify.com/v1/audio-analysis/64OpsXJO3i5nebXQFPBFp7	203044	4
1525	Flo Milli	Like That Bitch	spotify:track:7zoZd2MuTaQEdF1rlq6Vv1	19	0.782	0.844	10	-4.142	0	0.23	0.107	1.12E-06	0.295	0.76	77.435	audio_features	7zoZd2MuTaQEdF1rlq6Vv1	https://api.spotify.com/v1/tracks/7zoZd2MuTaQEdF1rlq6Vv1	https://api.spotify.com/v1/audio-analysis/7zoZd2MuTaQEdF1rlq6Vv1	203044	4
1526	Flo Milli	May I	spotify:track:1GcXzijYzyfMq6wryZjYW5	102	0.896	0.78	1	-3.547	1	0.202	0.0828	0	0.0857	0.85	106.032	audio_features	1GcXzijYzyfMq6wryZjYW5	https://api.spotify.com/v1/tracks/1GcXzijYzyfMq6wryZjYW5	https://api.spotify.com/v1/audio-analysis/1GcXzijYzyfMq6wryZjYW5	163019	4
